Team,ID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,W,D,L,GF,GA,GD,Pts
Real Madrid,RMA,4,1,2,2,2,2,2,4,7,9,6,6,6,5,4,4,4,5,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,5,12,63,46,17,68
Barcelona,BAR,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,9,3,90,36,54,87
Atletico Madrid,ATM,8,9,10,9,5,3,4,3,5,4,4,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,10,6,55,29,26,76
Sevilla,SEV,1,3,5,12,7,5,3,1,4,3,3,2,1,2,2,2,3,3,3,4,4,4,4,4,5,6,6,6,7,6,5,4,6,5,5,6,6,6,17,8,13,62,47,15,59
Villarreal,VIL,16,13,18,14,14,9,12,16,16,17,16,16,16,17,17,17,18,18,19,19,19,19,19,18,18,18,17,17,17,17,18,15,14,14,14,15,14,14,10,14,14,49,52,-3,44
Real Sociedad,RSO,7,7,8,13,9,10,13,9,10,12,13,10,8,10,13,15,15,11,8,8,9,9,9,7,8,9,9,10,10,9,10,10,11,11,9,8,8,9,13,11,14,45,46,-1,50
Athletic Bilbao,ATH,5,5,6,8,12,15,15,17,17,16,17,17,18,18,18,18,17,17,15,14,11,12,13,11,10,12,12,9,8,8,8,7,7,7,7,7,7,8,13,14,11,41,45,-4,53
Espanyol,ESP,10,4,7,4,8,6,7,5,2,5,2,5,5,7,10,11,14,8,10,13,15,15,12,14,14,13,11,13,14,13,13,12,10,9,10,9,9,7,14,11,13,48,50,-2,53
Alaves,ALA,19,17,11,7,3,4,6,6,3,2,5,4,4,4,5,6,5,4,5,5,5,7,6,6,6,5,5,5,5,7,7,8,8,8,8,10,11,11,13,11,14,39,50,-11,50
Eibar,EIB,14,19,15,15,11,13,17,12,12,15,12,13,10,12,14,13,13,13,16,11,10,10,10,10,11,10,10,11,11,11,12,13,13,13,12,11,12,12,11,14,13,46,50,-4,47
Valencia,VAL,11,15,17,17,15,16,14,14,14,14,15,15,11,14,15,14,8,12,11,9,7,8,8,9,9,7,7,7,6,5,6,6,5,6,6,5,4,4,15,16,7,51,35,16,61
Celta Vigo,CEL,9,8,3,3,4,7,8,10,13,10,11,14,15,13,11,9,11,14,17,17,18,16,16,17,17,17,18,18,18,18,16,17,15,16,15,14,17,17,10,11,17,53,62,-9,41
Real Betis,BET,20,18,13,10,13,8,5,8,11,13,14,12,14,11,7,5,6,6,7,7,8,6,7,8,7,8,8,8,9,10,9,9,9,10,11,13,10,10,14,8,16,44,52,-8,50
Leganes,LEG,15,12,19,20,20,18,20,18,18,18,18,18,17,16,16,16,16,16,13,15,16,13,11,13,12,11,13,14,12,12,11,11,12,12,13,12,13,13,11,12,15,37,43,-6,45
Getafe,GET,17,11,9,5,10,11,9,13,9,8,8,11,12,9,8,7,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,5,5,15,14,9,48,35,13,59
Girona,GIR,12,16,12,6,6,12,11,15,15,11,10,9,7,8,9,10,9,9,9,12,14,17,17,15,15,14,14,12,13,14,14,14,16,18,17,18,18,18,9,10,19,37,53,-16,37
Levante,LEV,3,10,4,11,16,17,16,11,8,7,7,8,9,6,6,8,10,10,12,10,12,11,14,12,13,15,15,15,15,15,15,16,17,15,16,16,15,15,11,11,16,59,66,-7,44
Huesca,HUE,6,6,14,16,17,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,19,7,12,19,43,65,-22,33
Rayo Vallecano,RAY,18,20,20,18,19,19,18,19,19,19,19,19,19,19,19,19,19,19,18,18,17,18,18,19,19,19,19,19,19,19,19,19,19,20,19,19,19,20,8,8,22,41,70,-29,32
Valladolid,VLD,13,14,16,19,18,14,10,7,6,6,9,7,13,15,12,12,12,15,14,16,13,14,15,16,16,16,16,16,16,16,17,18,18,17,18,17,16,16,10,11,17,32,51,-19,41
